2023-09-20/16:44:46		Error while creating table: unable to open database file 
2023-09-20/16:48:18		Error while creating table: unable to open database file 
2023-09-20/16:49:06		Error while creating table: unable to open database file 
2023-09-20/18:05:26		Error while creating table: name 'conn' is not defined 
2023-09-20/18:17:16		Error while creating table: name 'conn' is not defined 
2023-09-20/18:24:01		Error while creating table: 1007 (HY000): Can't create database 'mlproject'; database exists 
2023-09-20/18:24:21		Error while creating table: 1046 (3D000): No database selected 
2023-09-20/22:20:20		Error while creating table: 1007 (HY000): Can't create database 'mlproject'; database exists 
2023-09-20/22:20:43		Error while creating table: 1046 (3D000): No database selected 
2023-09-21/10:38:11		Error while creating table: 1146 (42S02): Table 'mlproject.sqlite_master' doesn't exist 
2023-09-21/10:46:36		Error while creating table: 1064 (42000): You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near ')' at line 1 
2023-09-21/10:48:00		Error while creating table: 1064 (42000): You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near ')' at line 1 
2023-09-21/10:49:08		Error while creating table: 1064 (42000): You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near ')' at line 1 
2023-09-21/10:54:19		Error while creating table: 1146 (42S02): Table 'mlproject.training' doesn't exist 
2023-09-21/11:57:48		Error while creating table: 'dBOperation' object has no attribute 'DatabaseName' 
2023-09-21/11:58:58		Error while creating table: 'dBOperation' object has no attribute 'DatabaseName' 
2023-09-21/12:00:36		Error while creating table: unable to open database file 
2023-09-21/12:01:28		Error while creating table: 1049 (42000): Unknown database 'training_database/training.db' 
2023-09-21/12:02:16		Error while creating table: 'dBOperation' object has no attribute 'DatabaseName' 
2023-09-21/12:03:15		Error while creating table: 'dBOperation' object has no attribute 'DatabaseName' 
2023-09-21/12:04:08		Error while creating table: 'dBOperation' object has no attribute 'DatabaseName' 
2023-09-21/12:05:10		Error while creating table: 'dBOperation' object has no attribute 'DatabaseName' 
2023-09-21/12:08:48		Error while creating table: 'dBOperation' object has no attribute 'DatabaseName' 
2023-09-21/12:27:46		Error while creating table: 'dBOperation' object has no attribute 'DatabaseName' 
2023-09-21/12:28:23		Error while creating table: 'dBOperation' object has no attribute 'DatabaseName' 
2023-09-21/12:28:58		Error while creating table: 'dBOperation' object has no attribute 'DatabaseName' 
2023-09-21/12:30:12		Error while creating table: 1146 (42S02): Table 'mlproject.sqlite_master' doesn't exist 
2023-09-21/12:48:56		Error while creating table: 1146 (42S02): Table 'training.sqlite_master' doesn't exist 
2023-09-21/12:52:33		Error while creating table: 'MySQLConnection' object has no attribute 'execute' 
2023-09-21/12:53:32		Error while creating table: 1064 (42000): You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near ')' at line 1 
2023-09-21/12:58:50		Error while creating table: 1064 (42000): You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near ')' at line 1 
2023-09-21/13:01:15		Error while creating table: 1064 (42000): You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near ')' at line 1 
2023-09-21/15:07:49		Error while creating table: 1146 (42S02): Table 'training.sqlite_master' doesn't exist 
2023-09-21/15:08:26		Error while creating table: No result set to fetch from 
2023-09-21/15:10:30		Error while creating table: 'MySQLConnection' object has no attribute 'execute' 
2023-09-21/15:10:57		Error while creating table: 1064 (42000): You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near ')' at line 1 
