2023-09-20/16:10:20		 wafer_13012020_090817.csv: File Transformed successfully!!
2023-09-20/16:10:21		 wafer_16012020_051629.csv: File Transformed successfully!!
2023-09-20/16:10:21		 wafer_20022020_090716.csv: File Transformed successfully!!
2023-09-20/16:10:21		 wafer_21012020_080913.csv: File Transformed successfully!!
2023-09-20/16:10:22		 wafer_23012020_041211.csv: File Transformed successfully!!
2023-09-20/16:10:22		 wafer_27012020_080911.csv: File Transformed successfully!!
2023-09-20/16:10:23		 wafer_28012020_090817.csv: File Transformed successfully!!
2023-09-20/16:10:24		 wafer_28042020_031911.csv: File Transformed successfully!!
2023-09-20/16:10:24		 wafer_29012020_050617.csv: File Transformed successfully!!
2023-09-20/16:44:42		 wafer_13012020_090817.csv: File Transformed successfully!!
2023-09-20/16:44:42		 wafer_16012020_051629.csv: File Transformed successfully!!
2023-09-20/16:44:43		 wafer_20022020_090716.csv: File Transformed successfully!!
2023-09-20/16:44:43		 wafer_21012020_080913.csv: File Transformed successfully!!
2023-09-20/16:44:43		 wafer_23012020_041211.csv: File Transformed successfully!!
2023-09-20/16:44:44		 wafer_27012020_080911.csv: File Transformed successfully!!
2023-09-20/16:44:45		 wafer_28012020_090817.csv: File Transformed successfully!!
2023-09-20/16:44:46		 wafer_28042020_031911.csv: File Transformed successfully!!
2023-09-20/16:44:46		 wafer_29012020_050617.csv: File Transformed successfully!!
2023-09-20/16:48:15		 wafer_13012020_090817.csv: File Transformed successfully!!
2023-09-20/16:48:15		 wafer_16012020_051629.csv: File Transformed successfully!!
2023-09-20/16:48:16		 wafer_20022020_090716.csv: File Transformed successfully!!
2023-09-20/16:48:16		 wafer_21012020_080913.csv: File Transformed successfully!!
2023-09-20/16:48:16		 wafer_23012020_041211.csv: File Transformed successfully!!
2023-09-20/16:48:16		 wafer_27012020_080911.csv: File Transformed successfully!!
2023-09-20/16:48:17		 wafer_28012020_090817.csv: File Transformed successfully!!
2023-09-20/16:48:17		 wafer_28042020_031911.csv: File Transformed successfully!!
2023-09-20/16:48:18		 wafer_29012020_050617.csv: File Transformed successfully!!
2023-09-20/16:49:03		 wafer_13012020_090817.csv: File Transformed successfully!!
2023-09-20/16:49:03		 wafer_16012020_051629.csv: File Transformed successfully!!
2023-09-20/16:49:04		 wafer_20022020_090716.csv: File Transformed successfully!!
2023-09-20/16:49:04		 wafer_21012020_080913.csv: File Transformed successfully!!
2023-09-20/16:49:04		 wafer_23012020_041211.csv: File Transformed successfully!!
2023-09-20/16:49:04		 wafer_27012020_080911.csv: File Transformed successfully!!
2023-09-20/16:49:05		 wafer_28012020_090817.csv: File Transformed successfully!!
2023-09-20/16:49:05		 wafer_28042020_031911.csv: File Transformed successfully!!
2023-09-20/16:49:06		 wafer_29012020_050617.csv: File Transformed successfully!!
2023-09-20/18:05:23		 wafer_13012020_090817.csv: File Transformed successfully!!
2023-09-20/18:05:23		 wafer_16012020_051629.csv: File Transformed successfully!!
2023-09-20/18:05:23		 wafer_20022020_090716.csv: File Transformed successfully!!
2023-09-20/18:05:24		 wafer_21012020_080913.csv: File Transformed successfully!!
2023-09-20/18:05:24		 wafer_23012020_041211.csv: File Transformed successfully!!
2023-09-20/18:05:24		 wafer_27012020_080911.csv: File Transformed successfully!!
2023-09-20/18:05:25		 wafer_28012020_090817.csv: File Transformed successfully!!
2023-09-20/18:05:26		 wafer_28042020_031911.csv: File Transformed successfully!!
2023-09-20/18:05:26		 wafer_29012020_050617.csv: File Transformed successfully!!
2023-09-20/18:17:14		 wafer_13012020_090817.csv: File Transformed successfully!!
2023-09-20/18:17:14		 wafer_16012020_051629.csv: File Transformed successfully!!
2023-09-20/18:17:14		 wafer_20022020_090716.csv: File Transformed successfully!!
2023-09-20/18:17:14		 wafer_21012020_080913.csv: File Transformed successfully!!
2023-09-20/18:17:15		 wafer_23012020_041211.csv: File Transformed successfully!!
2023-09-20/18:17:15		 wafer_27012020_080911.csv: File Transformed successfully!!
2023-09-20/18:17:15		 wafer_28012020_090817.csv: File Transformed successfully!!
2023-09-20/18:17:16		 wafer_28042020_031911.csv: File Transformed successfully!!
2023-09-20/18:17:16		 wafer_29012020_050617.csv: File Transformed successfully!!
2023-09-20/18:23:58		 wafer_13012020_090817.csv: File Transformed successfully!!
2023-09-20/18:23:59		 wafer_16012020_051629.csv: File Transformed successfully!!
2023-09-20/18:23:59		 wafer_20022020_090716.csv: File Transformed successfully!!
2023-09-20/18:23:59		 wafer_21012020_080913.csv: File Transformed successfully!!
2023-09-20/18:24:00		 wafer_23012020_041211.csv: File Transformed successfully!!
2023-09-20/18:24:00		 wafer_27012020_080911.csv: File Transformed successfully!!
2023-09-20/18:24:00		 wafer_28012020_090817.csv: File Transformed successfully!!
2023-09-20/18:24:01		 wafer_28042020_031911.csv: File Transformed successfully!!
2023-09-20/18:24:01		 wafer_29012020_050617.csv: File Transformed successfully!!
2023-09-20/18:24:19		 wafer_13012020_090817.csv: File Transformed successfully!!
2023-09-20/18:24:19		 wafer_16012020_051629.csv: File Transformed successfully!!
2023-09-20/18:24:19		 wafer_20022020_090716.csv: File Transformed successfully!!
2023-09-20/18:24:19		 wafer_21012020_080913.csv: File Transformed successfully!!
2023-09-20/18:24:20		 wafer_23012020_041211.csv: File Transformed successfully!!
2023-09-20/18:24:20		 wafer_27012020_080911.csv: File Transformed successfully!!
2023-09-20/18:24:20		 wafer_28012020_090817.csv: File Transformed successfully!!
2023-09-20/18:24:21		 wafer_28042020_031911.csv: File Transformed successfully!!
2023-09-20/18:24:21		 wafer_29012020_050617.csv: File Transformed successfully!!
2023-09-20/22:20:17		 wafer_13012020_090817.csv: File Transformed successfully!!
2023-09-20/22:20:17		 wafer_16012020_051629.csv: File Transformed successfully!!
2023-09-20/22:20:18		 wafer_20022020_090716.csv: File Transformed successfully!!
2023-09-20/22:20:18		 wafer_21012020_080913.csv: File Transformed successfully!!
2023-09-20/22:20:18		 wafer_23012020_041211.csv: File Transformed successfully!!
2023-09-20/22:20:19		 wafer_27012020_080911.csv: File Transformed successfully!!
2023-09-20/22:20:19		 wafer_28012020_090817.csv: File Transformed successfully!!
2023-09-20/22:20:20		 wafer_28042020_031911.csv: File Transformed successfully!!
2023-09-20/22:20:20		 wafer_29012020_050617.csv: File Transformed successfully!!
2023-09-20/22:20:39		 wafer_13012020_090817.csv: File Transformed successfully!!
2023-09-20/22:20:40		 wafer_16012020_051629.csv: File Transformed successfully!!
2023-09-20/22:20:40		 wafer_20022020_090716.csv: File Transformed successfully!!
2023-09-20/22:20:40		 wafer_21012020_080913.csv: File Transformed successfully!!
2023-09-20/22:20:41		 wafer_23012020_041211.csv: File Transformed successfully!!
2023-09-20/22:20:41		 wafer_27012020_080911.csv: File Transformed successfully!!
2023-09-20/22:20:42		 wafer_28012020_090817.csv: File Transformed successfully!!
2023-09-20/22:20:43		 wafer_28042020_031911.csv: File Transformed successfully!!
2023-09-20/22:20:43		 wafer_29012020_050617.csv: File Transformed successfully!!
2023-09-21/10:38:05		 wafer_13012020_090817.csv: File Transformed successfully!!
2023-09-21/10:38:06		 wafer_16012020_051629.csv: File Transformed successfully!!
2023-09-21/10:38:06		 wafer_20022020_090716.csv: File Transformed successfully!!
2023-09-21/10:38:06		 wafer_21012020_080913.csv: File Transformed successfully!!
2023-09-21/10:38:07		 wafer_23012020_041211.csv: File Transformed successfully!!
2023-09-21/10:38:07		 wafer_27012020_080911.csv: File Transformed successfully!!
2023-09-21/10:38:10		 wafer_28012020_090817.csv: File Transformed successfully!!
2023-09-21/10:38:11		 wafer_28042020_031911.csv: File Transformed successfully!!
2023-09-21/10:38:11		 wafer_29012020_050617.csv: File Transformed successfully!!
2023-09-21/10:46:31		 wafer_13012020_090817.csv: File Transformed successfully!!
2023-09-21/10:46:31		 wafer_16012020_051629.csv: File Transformed successfully!!
2023-09-21/10:46:32		 wafer_20022020_090716.csv: File Transformed successfully!!
2023-09-21/10:46:32		 wafer_21012020_080913.csv: File Transformed successfully!!
2023-09-21/10:46:33		 wafer_23012020_041211.csv: File Transformed successfully!!
2023-09-21/10:46:33		 wafer_27012020_080911.csv: File Transformed successfully!!
2023-09-21/10:46:34		 wafer_28012020_090817.csv: File Transformed successfully!!
2023-09-21/10:46:35		 wafer_28042020_031911.csv: File Transformed successfully!!
2023-09-21/10:46:35		 wafer_29012020_050617.csv: File Transformed successfully!!
2023-09-21/10:47:57		 wafer_13012020_090817.csv: File Transformed successfully!!
2023-09-21/10:47:57		 wafer_16012020_051629.csv: File Transformed successfully!!
2023-09-21/10:47:57		 wafer_20022020_090716.csv: File Transformed successfully!!
2023-09-21/10:47:58		 wafer_21012020_080913.csv: File Transformed successfully!!
2023-09-21/10:47:58		 wafer_23012020_041211.csv: File Transformed successfully!!
2023-09-21/10:47:59		 wafer_27012020_080911.csv: File Transformed successfully!!
2023-09-21/10:47:59		 wafer_28012020_090817.csv: File Transformed successfully!!
2023-09-21/10:48:00		 wafer_28042020_031911.csv: File Transformed successfully!!
2023-09-21/10:48:00		 wafer_29012020_050617.csv: File Transformed successfully!!
2023-09-21/10:49:05		 wafer_13012020_090817.csv: File Transformed successfully!!
2023-09-21/10:49:06		 wafer_16012020_051629.csv: File Transformed successfully!!
2023-09-21/10:49:06		 wafer_20022020_090716.csv: File Transformed successfully!!
2023-09-21/10:49:06		 wafer_21012020_080913.csv: File Transformed successfully!!
2023-09-21/10:49:07		 wafer_23012020_041211.csv: File Transformed successfully!!
2023-09-21/10:49:07		 wafer_27012020_080911.csv: File Transformed successfully!!
2023-09-21/10:49:08		 wafer_28012020_090817.csv: File Transformed successfully!!
2023-09-21/10:49:08		 wafer_28042020_031911.csv: File Transformed successfully!!
2023-09-21/10:49:08		 wafer_29012020_050617.csv: File Transformed successfully!!
2023-09-21/10:54:16		 wafer_13012020_090817.csv: File Transformed successfully!!
2023-09-21/10:54:16		 wafer_16012020_051629.csv: File Transformed successfully!!
2023-09-21/10:54:17		 wafer_20022020_090716.csv: File Transformed successfully!!
2023-09-21/10:54:17		 wafer_21012020_080913.csv: File Transformed successfully!!
2023-09-21/10:54:17		 wafer_23012020_041211.csv: File Transformed successfully!!
2023-09-21/10:54:18		 wafer_27012020_080911.csv: File Transformed successfully!!
2023-09-21/10:54:18		 wafer_28012020_090817.csv: File Transformed successfully!!
2023-09-21/10:54:19		 wafer_28042020_031911.csv: File Transformed successfully!!
2023-09-21/10:54:19		 wafer_29012020_050617.csv: File Transformed successfully!!
2023-09-21/11:57:44		 wafer_13012020_090817.csv: File Transformed successfully!!
2023-09-21/11:57:44		 wafer_16012020_051629.csv: File Transformed successfully!!
2023-09-21/11:57:44		 wafer_20022020_090716.csv: File Transformed successfully!!
2023-09-21/11:57:45		 wafer_21012020_080913.csv: File Transformed successfully!!
2023-09-21/11:57:45		 wafer_23012020_041211.csv: File Transformed successfully!!
2023-09-21/11:57:46		 wafer_27012020_080911.csv: File Transformed successfully!!
2023-09-21/11:57:47		 wafer_28012020_090817.csv: File Transformed successfully!!
2023-09-21/11:57:47		 wafer_28042020_031911.csv: File Transformed successfully!!
2023-09-21/11:57:48		 wafer_29012020_050617.csv: File Transformed successfully!!
2023-09-21/11:58:54		 wafer_13012020_090817.csv: File Transformed successfully!!
2023-09-21/11:58:54		 wafer_16012020_051629.csv: File Transformed successfully!!
2023-09-21/11:58:54		 wafer_20022020_090716.csv: File Transformed successfully!!
2023-09-21/11:58:55		 wafer_21012020_080913.csv: File Transformed successfully!!
2023-09-21/11:58:55		 wafer_23012020_041211.csv: File Transformed successfully!!
2023-09-21/11:58:55		 wafer_27012020_080911.csv: File Transformed successfully!!
2023-09-21/11:58:57		 wafer_28012020_090817.csv: File Transformed successfully!!
